,index,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_per_1000,lots_commercial_office,lots_industrial_manufacturing,lots_mixed_use,lots_open_space,lots_other_no_data,lots_parking,lots_public_facility_institution,lots_res_1_2_family_bldg,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_total,lots_transportation_utility,lots_vacant,pct_bach_deg,pct_clean_strts,pct_hh_rent_burd,pct_hispanic,pct_black_nh,pct_asian_nh,pct_served_parks,pct_white_nh,pop_2010,poverty_rate,under18_rate,store_square_feet,pop_pct,profit
5,3.0,24737.0,89164.0,19.0,4.0,10.0,27.0,10.90000000000005,653.0,816.0,1738.0,56.0,56.0,376.0,195.0,8243.0,216.0,6406.0,19400.0,253.0,392.0,46.39999999999979,96.0,37.39999999999983,26.600000000000097,6.700000000000029,15.5,63.0,48.29999999999987,191105.0,18.099999999999966,14.5,1300.0,4.073469387755102,198.87489795918253
0,4.0,14220.0,55680.0,18.0,4.0,8.0,24.0,7.799999999999999,238.0,529.0,1674.0,38.0,126.0,230.0,172.0,4570.0,124.0,5591.0,13799.0,101.0,406.0,73.0,95.9000000000005,28.800000000000068,16.300000000000093,7.200000000000017,7.0,94.0,64.09999999999997,104709.0,9.599999999999946,21.199999999999886,1300.0,4.176470588235294,168.92787394450502
6,5.0,1725.0,45629.0,10.0,2.0,13.0,19.0,6.799999999999973,359.0,4.0,635.0,23.0,17.0,23.0,72.0,34.0,167.0,66.0,1461.0,36.0,25.0,82.20000000000032,95.40000000000009,30.100000000000094,6.5,2.199999999999992,15.5,100.0,72.20000000000027,60978.0,8.799999999999969,12.699999999999978,900.0,4.4511627906976745,225.63409302325522
1,6.0,4644.0,82557.0,41.0,5.0,13.0,42.0,15.199999999999914,298.0,23.0,2076.0,124.0,12.0,56.0,276.0,65.0,255.0,926.0,4259.0,39.0,109.0,43.2999999999998,91.0,38.399999999999785,25.100000000000136,8.400000000000048,30.600000000000172,100.0,33.29999999999996,163277.0,19.300000000000107,11.400000000000059,1000.0,4.294117647058823,174.55200337319786
2,7.0,3056.0,100985.0,48.0,3.0,6.0,16.0,11.69999999999994,319.0,1.0,940.0,37.0,4.0,23.0,209.0,260.0,418.0,498.0,2812.0,41.0,62.0,80.5,96.5,35.1000000000002,7.299999999999986,3.3999999999999853,16.60000000000002,91.0,69.7000000000004,142745.0,9.800000000000036,8.80000000000002,1200.0,4.5588235294117645,190.55697622491715
7,8.0,3829.0,85706.0,38.0,2.0,7.0,29.0,18.099999999999937,479.0,55.0,1008.0,25.0,8.0,73.0,163.0,162.0,320.0,960.0,3417.0,94.0,70.0,74.10000000000025,95.59999999999995,33.899999999999885,15.5,5.200000000000021,17.19999999999994,94.0,59.100000000000215,103245.0,11.299999999999997,8.20000000000003,1500.0,4.315789473684211,234.54382775119439
3,9.0,3829.0,85706.0,38.0,2.0,7.0,29.0,18.100000000000044,479.0,55.0,1008.0,25.0,8.0,73.0,163.0,162.0,320.0,960.0,3417.0,94.0,70.0,74.09999999999978,95.59999999999951,33.89999999999981,15.5,5.200000000000029,17.1999999999999,94.0,59.100000000000094,103245.0,11.300000000000056,8.199999999999992,1700.0,4.470588235294118,129.37672340152315
4,10.0,5256.0,60610.0,19.0,3.0,6.0,8.0,15.0,594.0,13.0,1766.0,29.0,29.0,52.0,173.0,628.0,444.0,921.0,4725.0,26.0,50.0,82.20000000000044,96.29999999999951,30.100000000000172,6.5,2.200000000000005,15.5,100.0,72.2000000000004,90016.0,8.80000000000002,12.699999999999932,1600.0,4.352941176470588,163.1007817689793
