,index,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_per_1000,pct_bach_deg,pct_clean_strts,pct_hh_rent_burd,pct_hispanic,pct_black_nh,pct_asian_nh,pct_served_parks,pct_white_nh,poverty_rate,under18_rate,store_square_feet,pop_pct,profit
5,3.0,6060565,21845180,4655,980,2450,6615,2670.5000000000123,11367.999999999949,23520.0,9162.999999999958,6517.000000000024,1641.500000000007,3797.5,15435,11833.499999999967,4434.499999999992,3552.5,318500,212241139,48724.34999999972
0,4.0,4351320,17038080,5508,1224,2448,7344,2386.7999999999997,22338.0,29345.400000000154,8812.800000000021,4987.800000000028,2203.2000000000053,2142.0,28764,19614.59999999999,2937.5999999999835,6487.199999999965,397800,143524494,57472.262861143645
6,5.0,370875,9810235,2150,430,2795,4085,1461.9999999999943,17673.00000000007,20511.00000000002,6471.50000000002,1397.5,472.99999999999835,3332.5,21500,15523.00000000006,1891.9999999999934,2730.4999999999955,193500,63685329,48511.32999999987
1,6.0,1421064,25262442,12546,1530,3978,12852,4651.199999999973,13249.79999999994,27846.0,11750.399999999934,7680.600000000041,2570.4000000000146,9363.600000000053,30600,10189.799999999988,5905.800000000033,3488.4000000000183,306000,237176037,55188.261322180595
2,7.0,935136,30901410,14688,918,1836,4896,3580.199999999982,24633.0,29529.0,10740.60000000006,2233.7999999999956,1040.3999999999955,5079.600000000006,27846,21328.20000000012,2998.800000000011,2692.800000000006,367200,211076928,62761.9847249287
7,8.0,800261,17912554,7942,418,1463,6061,3782.899999999987,15486.900000000052,19980.39999999999,7085.099999999976,3239.5,1086.8000000000043,3594.7999999999874,19646,12351.900000000045,2361.6999999999994,1713.800000000006,313500,101138748,49019.659999999625
3,9.0,1171674,26226036,11628,612,2142,8874,5538.600000000014,22674.599999999933,29253.59999999985,10373.399999999941,4743.0,1591.2000000000087,5263.19999999997,28764,18084.600000000028,3457.800000000017,2509.1999999999975,520200,160287786,47983.268561206285
4,10.0,1608336,18546660,5814,918,1836,2448,4590.0,25153.200000000135,29467.79999999985,9210.600000000053,1989.0,673.2000000000015,4743.0,30600,22093.200000000124,2692.800000000006,3886.199999999979,489600,133187553,58891.8278700907
